,lat,lon
2506,48.84451,2.37326
9995,48.84467,2.37363
1912,48.84465,2.37326
6965,48.84441,2.37344
6759,48.84456,2.37315
9865,48.84459,2.3730900000000004
10056,48.84467,2.37363
486,48.84462,2.37374
5157,48.84446,2.3732
10032,48.84467,2.37363
10566,48.84472,2.37326
6404,48.84462,2.37332
1869,48.84465,2.37326
9038,48.84473,2.37318
1523,48.84468,2.37321
7229,48.84458,2.37368
146,48.84473,2.37338
3481,48.84473,2.37351
1915,48.84465,2.37326
2092,48.84443,2.37326
5967,48.84437,2.37319
8134,48.84447,2.37361
5054,48.84462,2.37344
6864,48.84456,2.37315
2113,48.84443,2.37326
7262,48.84458,2.37368
10629,48.84453,2.37321
6849,48.84456,2.37315
8582,48.84451,2.37366
3193,48.844440000000006,2.37338
9093,48.84473,2.37318
8624,48.84451,2.37366
4411,48.8445,2.37356
9759,48.84459,2.3730900000000004
1088,48.84454,2.37333
8988,48.84473,2.37318
992,48.84454,2.37333
10244,48.8446,2.37321
6199,48.84434,2.37342
4687,48.8446,2.37363
10138,48.84467,2.37363
8694,48.84451,2.37366
1607,48.84466,2.37338
5798,48.84463,2.37358
2359,48.84447,2.37332
10599,48.84472,2.37326
4849,48.8446,2.37363
2975,48.84438,2.3734900000000003
8735,48.8447,2.37344
10222,48.8446,2.37321
7001,48.84441,2.37344
2876,48.84438,2.3734900000000003
4141,48.84476,2.37332
6829,48.84456,2.37315
9252,48.84466,2.37351
5559,48.84456,2.37372
10713,48.84453,2.37321
2308,48.84447,2.37332
10155,48.84467,2.37363
7506,48.84454,2.3736200000000003
3933,48.84476,2.37345
9158,48.84466,2.37351
190,48.84473,2.37338
1158,48.84463,2.37315
8748,48.8447,2.37344
